Player,Country,Span,Matches,Innings,NotOuts,Runs,Highest Score,Average,Balls Faced,Strike Rate,100,50,Ducks,Fours,Sixes
SR Tendulkar,IND,1989-2013,200,329,33,15921,248*,53.78,29437+,54.04,51,68,14,2058+,69
JH Kallis,SA,1995-2013,166,280,40,13289,224,55.37,28903,45.97,45,58,16,1488,97
RT Ponting,AUS,1995-2012,168,287,29,13378,257,51.85,22782,58.72,41,62,17,1509,73
KC Sangakkara,SL,2000-2015,134,233,17,12400,319,57.4,22882,54.19,38,52,11,1491,51
R Dravid,IND,1996-2012,164,286,32,13288,270,52.31,31258,42.51,36,63,8,1654,21
Younis Khan,PAK,2000-2017,118,213,19,10099,313,52.05,19375,52.12,34,33,19,1082,70
SM Gavaskar,IND,1971-1987,125,214,16,10122,236*,51.12,14184+,43.35,34,45,12,908+,26
BC Lara,WI,1990-2006,131,232,6,11953,400*,52.88,19753,60.51,34,48,17,1559,88
DPMD Jayawardene ,SL,1997-2014,149,252,15,11814,374,49.84,22959,51.45,34,50,15,1387,61
AN Cook,ENG,2006-2018,161,291,16,12472,294,45.35,26562,46.95,33,57,9,1442,11
KS Williamson,NZ,2010-2024,99,174,17,8675,251,55.25,16862,51.44,32,33,11,963,24
SPD Smith,AUS,2010-2024,108,193,25,9665,239,57.52,18051,53.54,32,41,10,1060,54
SR Waugh ,AUS,1985-2004,168,260,46,10927,200,51.06,22461,48.64,32,50,22,1175,20
JE Root ,ENG,2012-2024,139,255,21,11626,254,49.68,20578,56.49,31,60,12,1264,44
ML Hayden ,AUS,1994-2009,103,184,14,8625,380,50.73,14349,60.1,30,29,14,1049,82
S Chanderpaul,WI,1994-2015,164,280,49,11867,203*,51.37,27395,43.31,30,66,15,1285,36
DG Bradman ,AUS,1928-1948,52,80,10,6996,334,99.94,9800+,58.6,29,13,7,626+,6
V Kohli,IND,2011-2024,113,191,11,8848,254*,49.15,15924,55.56,29,30,14,991,26
MJ Clarke ,AUS,2004-2015,115,198,22,8643,329*,49.1,15456,55.92,28,27,9,978,39
HM Amla ,SA,2004-2019,124,215,16,9282,311*,46.64,18573,49.97,28,41,13,1170,14
GC Smith,SA,2002-2014,117,205,13,9265,277,48.25,15525,59.67,27,38,11,1165,24
AR Border ,AUS,1978-1994,156,265,44,11174,205,50.56,27002+,41.09,27,63,11,1161,28
GS Sobers,WI,1954-1974,93,160,21,8032,365*,57.78,4063+,53.58,26,30,12,593+,32+
DA Warner,AUS,2011-2024,112,205,8,8786,335*,44.59,12517,70.19,26,37,13,1036,69
Inzamam-ul-Haq,PAK,1992-2007,120,200,22,8830,329,49.6,16345,54.02,25,46,15,1105,48
GS Chappell ,AUS,1970-1984,87,151,19,7110,247*,53.86,13079+,51.53,24,31,12,755,16
Mohammad Yousuf ,PAK,1998-2010,90,156,12,7530,223,52.29,14372,52.39,24,33,11,957,51
IVA Richards ,WI,1974-1991,121,182,12,8540,291,50.23,9613+,69.77,24,45,10,952+,84
V Sehwag ,IND,2001-2013,104,180,6,8586,319,49.34,10441,82.23,23,32,16,1233,91
KP Pietersen ,ENG,2005-2014,104,181,8,8181,227,47.28,13255,61.72,23,35,10,985,81
JL Langer ,AUS,1993-2007,105,182,12,7696,250,45.27,14192,54.22,23,30,11,912,40
Javed Miandad ,PAK,1976-1993,124,189,21,8832,280*,52.57,15164+,45.99,23,43,6,788+,48
WR Hammond,ENG,1927-1947,85,140,16,7249,336*,58.45,7491+,38.07,22,24,4,419+,27
M Azharuddin ,IND,1984-2000,99,147,9,6215,199,45.03,9892+,57.82,22,21,5,720+,19
MC Cowdrey,ENG,1954-1975,114,188,15,7624,182,44.06,6272+,37.45,22,38,9,708+,13
AB de Villiers,SA,2004-2018,114,191,18,8765,278*,50.66,16077,54.51,22,46,8,1024,64
G Boycott ,ENG,1964-1982,108,193,23,8114,246*,47.72,20528+,35.69,22,42,10,765+,8
IR Bell ,ENG,2004-2015,118,205,24,7727,235,42.69,15622,49.46,22,46,14,919,39
RN Harvey,AUS,1948-1963,79,137,10,6149,205,48.41,1799+,43.74,21,24,7,427+,1
G Kirsten,SA,1993-2004,101,176,15,7289,275,45.27,16783,43.43,21,34,13,922,12
AJ Strauss,ENG,2004-2012,100,178,6,7037,177,40.91,14385,48.91,21,27,15,867,10
DC Boon,AUS,1984-1996,107,190,20,7422,200,43.65,18116,40.96,21,32,16,822,2
KF Barrington,ENG,1955-1968,82,131,15,6806,256,58.67,4957+,42.42,20,35,5,591+,27
PA de Silva ,SL,1984-2002,93,159,11,6361,267,42.97,11249+,51.04,20,22,7,737+,48
ME Waugh ,AUS,1991-2002,128,209,17,8029,153*,41.81,15360,52.27,20,47,19,844,41
GA Gooch,ENG,1975-1995,118,215,6,8900,333,42.58,18075,49.23,20,46,13,1079,25
MEK Hussey,AUS,2005-2013,79,137,16,6235,195,51.52,12436,50.13,19,29,12,685,39
L Hutton,ENG,1937-1955,79,138,15,6971,364,56.67,2844+,39.34,19,33,5,358+,7
CH Lloyd ,WI,1966-1985,110,175,14,7515,242*,46.67,6942+,56.68,19,39,4,712+,70
CA Pujara ,IND,2010-2023,103,176,11,7195,206*,43.6,16217,44.36,19,35,12,863,16
Azhar Ali ,PAK,2010-2022,97,180,11,7142,302*,42.26,17033,41.93,19,35,19,694,22
CG Greenidge ,WI,1974-1991,108,185,16,7558,226,44.72,11932+,49.49,19,34,11,872+,67
MA Taylor,AUS,1989-1999,104,186,13,7525,334*,43.49,18140,41.48,19,40,5,727,9
LRPL Taylor ,NZ,2007-2022,112,196,24,7683,290,44.66,12957,59.29,19,35,14,932,55
MP Vaughan,ENG,1999-2008,82,147,9,5719,197,41.44,11184,51.13,18,18,9,742,22
DL Haynes,WI,1978-1994,116,202,25,7487,184,42.29,15052+,44.41,18,39,10,818+,24
DI Gower,ENG,1978-1992,117,204,18,8231,215,44.25,16268,50.59,18,39,7,979,10
DCS Compton,ENG,1937-1957,78,131,15,5807,278,50.06,2731+,38.81,17,28,10,342+,3
MD Crowe,NZ,1982-1995,77,131,11,5444,299,45.36,12190,44.65,17,18,9,659,27
AC Gilchrist ,AUS,1999-2008,96,137,20,5570,204*,47.6,6796,81.95,17,26,14,677,100
DB Vengsarkar ,IND,1976-1992,116,185,22,6868,166,42.13,10810+,41.56,17,35,15,509+,17
VVS Laxman ,IND,1996-2012,134,225,34,8781,281,45.97,17785,49.37,17,56,14,1135,5
H Sutcliffe ,ENG,1924-1935,54,84,9,4555,194,60.73,6558+,34.59,16,23,2,202+,6
TM Dilshan,SL,1999-2013,87,145,11,5492,193,40.98,8379,65.54,16,23,14,677,24
RB Richardson ,WI,1983-1995,86,146,12,5949,194,44.39,12398+,47.77,16,27,8,761+,23
MS Atapattu,SL,1990-2007,90,156,15,5502,249,39.02,12384+,44.42,16,17,22,685,4
FDM Karunaratne ,SL,2012-2024,89,170,7,6740,244,41.34,13065,51.58,16,35,12,713,10
GP Thorpe,ENG,1993-2005,100,179,28,6744,200*,44.66,14693,45.89,16,39,12,778,9
SC Ganguly ,IND,1996-2008,113,188,17,7212,239,42.17,14070,51.25,16,35,13,900,57
AD Mathews ,SL,2009-2024,107,189,26,7502,200*,46.02,15462,48.51,16,40,5,771,85
MA Atherton ,ENG,1989-2001,115,212,7,7728,185*,37.69,20609,37.49,16,46,20,904,4
CL Walcott ,WI,1948-1960,44,74,7,3798,220,56.68,-,-,15,14,1,107+,11
ED Weekes,WI,1948-1958,48,81,5,4455,207,58.61,-,-,15,19,6,258,2
JB Hobbs,ENG,1908-1930,61,102,7,5410,211,56.94,5363+,46.22,15,28,4,276,8
KD Walters ,AUS,1965-1981,74,125,14,5357,250,48.26,8662+,49.16,15,33,4,525,23
UT Khawaja ,AUS,2011-2024,72,129,12,5424,195*,46.35,11219,48.34,15,26,8,589,26
RB Kanhai,WI,1957-1974,79,137,6,6227,256,47.53,2914+,47.87,15,28,7,491,23+
LD Chandimal ,SL,2011-2024,77,138,15,5402,206*,43.91,10851,49.78,15,25,5,559,40
Saleem Malik ,PAK,1982-1999,103,154,22,5768,237,43.69,10906+,49.33,15,29,12,678,7
RR Sarwan,WI,2000-2011,87,154,8,5842,291,40.01,12484,46.79,15,31,12,747,14
CH Gayle,WI,2000-2014,103,182,11,7214,333,42.18,11970,60.26,15,37,15,1046,98
AJ Stewart,ENG,1990-2003,133,235,21,8463,190,39.54,17389,48.66,15,45,14,1121,10
